id,name,episode,agent,kill,death,time
26,enemy,8,Guardian,10.0,1,31
26,enemy,9,Explorer,2.0,1,12
27,enemy,0,Conqueror,41.0,0,60
27,enemy,1,Manager,43.0,0,60
27,enemy,2,Artisan,29.0,1,38
27,enemy,3,Guardian,0.0,0,60
27,enemy,4,Explorer,29.0,1,33
27,enemy,5,Conqueror,41.0,0,60
27,enemy,6,Manager,41.0,0,60
27,enemy,7,Artisan,15.0,1,35
27,enemy,8,Guardian,12.0,1,38
27,enemy,9,Explorer,1.0,1,7
28,enemy,0,Conqueror,59.0,0,60
28,enemy,1,Manager,42.0,0,60
28,enemy,2,Artisan,21.0,1,35
28,enemy,3,Guardian,5.0,1,24
28,enemy,4,Explorer,11.0,1,41
28,enemy,5,Conqueror,39.0,0,60
28,enemy,6,Manager,47.0,0,60
28,enemy,7,Artisan,1.0,1,11
28,enemy,8,Guardian,0.0,0,60
28,enemy,9,Explorer,5.0,1,22
29,enemy,0,Conqueror,39.0,0,60
29,enemy,1,Manager,42.0,0,60
29,enemy,2,Artisan,19.0,1,26
29,enemy,3,Guardian,5.0,1,23
29,enemy,4,Explorer,9.0,1,33
29,enemy,5,Conqueror,27.0,1,53
29,enemy,6,Manager,42.0,0,60
29,enemy,7,Artisan,9.0,1,23
29,enemy,8,Guardian,16.0,1,25
29,enemy,9,Explorer,0.0,1,9
30,enemy,0,Conqueror,37.0,0,60
30,enemy,1,Manager,42.0,0,60
30,enemy,2,Artisan,6.0,1,22
30,enemy,3,Guardian,34.0,1,45
30,enemy,4,Explorer,0.0,1,8
30,enemy,5,Conqueror,40.0,0,60
30,enemy,6,Manager,39.0,0,60
30,enemy,7,Artisan,14.0,1,21
30,enemy,8,Guardian,0.0,0,60
30,enemy,9,Explorer,1.0,1,9
31,enemy,0,Conqueror,57.0,1,48
31,enemy,1,Manager,32.0,1,52
31,enemy,2,Artisan,6.0,1,9
31,enemy,3,Guardian,2.0,1,10
31,enemy,4,Explorer,0.0,1,8
31,enemy,5,Conqueror,44.0,0,60
31,enemy,6,Manager,32.0,1,52
31,enemy,7,Artisan,2.0,1,14
31,enemy,8,Guardian,5.0,1,20
31,enemy,9,Explorer,6.0,1,16
32,enemy,0,Conqueror,55.0,0,60
32,enemy,1,Manager,32.0,1,53
32,enemy,2,Artisan,13.0,1,34
32,enemy,3,Guardian,1.0,1,10
32,enemy,4,Explorer,6.0,1,18
32,enemy,5,Conqueror,48.0,0,60
32,enemy,6,Manager,37.0,0,60
32,enemy,7,Artisan,10.0,1,27
32,enemy,8,Guardian,5.0,1,18
32,enemy,9,Explorer,24.0,1,46
33,enemy,0,Conqueror,41.0,0,60
33,enemy,1,Manager,41.0,0,60
33,enemy,2,Artisan,11.0,1,29
33,enemy,3,Guardian,6.0,1,13
33,enemy,4,Explorer,14.0,1,38
33,enemy,5,Conqueror,41.0,0,60
33,enemy,6,Manager,40.0,0,60
33,enemy,7,Artisan,15.0,1,34
33,enemy,8,Guardian,2.0,0,60
33,enemy,9,Explorer,1.0,1,11
34,enemy,0,Conqueror,41.0,0,60
34,enemy,1,Manager,41.0,0,60
34,enemy,2,Artisan,27.0,1,31
34,enemy,3,Guardian,0.0,0,60
34,enemy,4,Explorer,13.0,1,31
34,enemy,5,Conqueror,4.0,1,11
34,enemy,6,Manager,0.0,1,13
34,enemy,7,Artisan,2.0,1,9
34,enemy,8,Guardian,0.0,0,60
34,enemy,9,Explorer,2.0,1,12
35,enemy,0,Conqueror,58.0,0,60
35,enemy,1,Manager,7.0,1,11
35,enemy,2,Artisan,4.0,1,19
35,enemy,3,Guardian,1.0,1,8
35,enemy,4,Explorer,7.0,1,16
35,enemy,5,Conqueror,42.0,0,60
35,enemy,6,Manager,41.0,0,60
35,enemy,7,Artisan,16.0,1,35
35,enemy,8,Guardian,3.0,1,19
35,enemy,9,Explorer,3.0,1,23
36,enemy,0,Conqueror,42.0,0,60
36,enemy,1,Manager,32.0,1,52
36,enemy,2,Artisan,2.0,1,16
36,enemy,3,Guardian,3.0,0,60
36,enemy,4,Explorer,1.0,1,15
36,enemy,5,Conqueror,53.0,0,60
36,enemy,6,Manager,18.0,1,38
36,enemy,7,Artisan,30.0,1,52
36,enemy,8,Guardian,0.0,0,60
36,enemy,9,Explorer,1.0,1,7
37,enemy,0,Conqueror,47.0,0,60
37,enemy,1,Manager,32.0,0,60
37,enemy,2,Artisan,12.0,1,32
37,enemy,3,Guardian,9.0,1,27
37,enemy,4,Explorer,2.0,1,8
37,enemy,5,Conqueror,39.0,0,60
37,enemy,6,Manager,8.0,1,23
37,enemy,7,Artisan,15.0,1,35
37,enemy,8,Guardian,2.0,0,60
37,enemy,9,Explorer,9.0,1,24
38,enemy,0,Conqueror,16.0,1,34
38,enemy,1,Manager,50.0,0,60
38,enemy,2,Artisan,8.0,1,22
38,enemy,3,Guardian,2.0,1,7
38,enemy,4,Explorer,5.0,1,19
38,enemy,5,Conqueror,4.0,1,25
38,enemy,6,Manager,16.0,1,34
38,enemy,7,Artisan,7.0,1,19
38,enemy,8,Guardian,0.0,1,7
38,enemy,9,Explorer,10.0,1,33
39,enemy,0,Conqueror,41.0,0,60
39,enemy,1,Manager,38.0,0,60
39,enemy,2,Artisan,14.0,1,34
39,enemy,3,Guardian,0.0,0,60
39,enemy,4,Explorer,9.0,1,17
39,enemy,5,Conqueror,3.0,1,15
39,enemy,6,Manager,45.0,0,60
39,enemy,7,Artisan,12.0,1,29
39,enemy,8,Guardian,4.0,1,17
39,enemy,9,Explorer,4.0,1,11
40,enemy,0,Conqueror,10.0,1,40
40,enemy,1,Manager,2.0,1,12
40,enemy,2,Artisan,9.0,1,27
40,enemy,3,Guardian,0.0,0,60
40,enemy,4,Explorer,3.0,1,14
40,enemy,5,Conqueror,42.0,0,60
40,enemy,6,Manager,40.0,0,60
40,enemy,7,Artisan,17.0,1,21
40,enemy,8,Guardian,4.0,1,19
40,enemy,9,Explorer,0.0,1,7
41,enemy,0,Conqueror,3.0,1,9
41,enemy,1,Manager,13.0,1,21
41,enemy,2,Artisan,26.0,1,36
41,enemy,3,Guardian,3.0,1,15
41,enemy,4,Explorer,25.0,1,51
41,enemy,5,Conqueror,21.0,1,52
41,enemy,6,Manager,20.0,1,38
41,enemy,7,Artisan,3.0,1,10
41,enemy,8,Guardian,4.0,1,14
41,enemy,9,Explorer,0.0,1,4
42,enemy,0,Conqueror,41.0,0,60
42,enemy,1,Manager,51.0,0,60
42,enemy,2,Artisan,13.0,1,28
42,enemy,3,Guardian,8.0,1,26
42,enemy,4,Explorer,10.0,1,25
42,enemy,5,Conqueror,40.0,0,60
42,enemy,6,Manager,7.0,1,23
42,enemy,7,Artisan,32.0,1,53
42,enemy,8,Guardian,0.0,0,60
42,enemy,9,Explorer,2.0,1,16
43,enemy,0,Conqueror,41.0,0,60
43,enemy,1,Manager,14.0,1,32
43,enemy,2,Artisan,16.0,1,23
43,enemy,3,Guardian,0.0,0,60
43,enemy,4,Explorer,2.0,1,14
43,enemy,5,Conqueror,7.0,1,23
43,enemy,6,Manager,39.0,0,60
43,enemy,7,Artisan,15.0,1,35
43,enemy,8,Guardian,18.0,1,37
43,enemy,9,Explorer,10.0,1,25
44,enemy,0,Conqueror,7.0,1,20
44,enemy,1,Manager,51.0,0,60
44,enemy,2,Artisan,19.0,1,32
44,enemy,3,Guardian,5.0,1,19
44,enemy,4,Explorer,27.0,1,50
44,enemy,5,Conqueror,41.0,0,60
44,enemy,6,Manager,33.0,1,51
44,enemy,7,Artisan,8.0,1,22
44,enemy,8,Guardian,3.0,1,18
44,enemy,9,Explorer,8.0,1,28
45,enemy,0,Conqueror,41.0,0,60
45,enemy,1,Manager,12.0,1,19
45,enemy,2,Artisan,9.0,1,23
45,enemy,3,Guardian,5.0,1,16
45,enemy,4,Explorer,7.0,1,29
45,enemy,5,Conqueror,41.0,0,60
45,enemy,6,Manager,0.0,1,5
45,enemy,7,Artisan,11.0,1,29
45,enemy,8,Guardian,7.0,1,23
45,enemy,9,Explorer,3.0,1,14
46,enemy,0,Conqueror,40.0,0,60
46,enemy,1,Manager,3.0,1,10
46,enemy,2,Artisan,6.0,1,14
46,enemy,3,Guardian,0.0,0,60
46,enemy,4,Explorer,4.0,1,14
46,enemy,5,Conqueror,41.0,0,60
46,enemy,6,Manager,41.0,0,60
46,enemy,7,Artisan,19.0,1,26
46,enemy,8,Guardian,5.0,1,20
46,enemy,9,Explorer,7.0,1,22
47,enemy,0,Conqueror,39.0,0,60
47,enemy,1,Manager,35.0,1,44
47,enemy,2,Artisan,13.0,1,27
47,enemy,3,Guardian,11.0,1,35
47,enemy,4,Explorer,8.0,1,25
47,enemy,5,Conqueror,40.0,0,60
47,enemy,6,Manager,45.0,0,60
47,enemy,7,Artisan,18.0,1,37
47,enemy,8,Guardian,5.0,1,23
47,enemy,9,Explorer,19.0,1,35
48,enemy,0,Conqueror,42.0,0,60
48,enemy,1,Manager,32.0,1,55
48,enemy,2,Artisan,18.0,1,30
48,enemy,3,Guardian,2.0,1,12
48,enemy,4,Explorer,6.0,1,28
48,enemy,5,Conqueror,51.0,0,60
48,enemy,6,Manager,39.0,1,54
48,enemy,7,Artisan,31.0,1,52
48,enemy,8,Guardian,7.0,1,27
48,enemy,9,Explorer,11.0,1,38
49,enemy,0,Conqueror,41.0,0,60
49,enemy,1,Manager,4.0,1,24
49,enemy,2,Artisan,11.0,1,27
49,enemy,3,Guardian,3.0,1,9
49,enemy,4,Explorer,0.0,1,17
49,enemy,5,Conqueror,48.0,0,60
49,enemy,6,Manager,15.0,1,36
49,enemy,7,Artisan,22.0,1,34
49,enemy,8,Guardian,0.0,0,60
49,enemy,9,Explorer,3.0,1,11
50,enemy,0,Conqueror,41.0,0,60
50,enemy,1,Manager,45.0,0,60
50,enemy,2,Artisan,11.0,1,23
50,enemy,3,Guardian,5.0,1,24
50,enemy,4,Explorer,1.0,1,10
50,enemy,5,Conqueror,44.0,0,60
50,enemy,6,Manager,41.0,0,60
50,enemy,7,Artisan,3.0,1,12
50,enemy,8,Guardian,6.0,1,25
50,enemy,9,Explorer,7.0,1,16
51,enemy,0,Conqueror,41.0,0,60
51,enemy,1,Manager,0.0,1,11
51,enemy,2,Artisan,18.0,1,38
51,enemy,3,Guardian,6.0,1,25
51,enemy,4,Explorer,2.0,1,12
51,enemy,5,Conqueror,41.0,0,60
51,enemy,6,Manager,41.0,0,60
51,enemy,7,Artisan,13.0,1,32
51,enemy,8,Guardian,2.0,0,60
51,enemy,9,Explorer,7.0,1,19
52,enemy,0,Conqueror,58.0,0,60
52,enemy,1,Manager,19.0,1,34
52,enemy,2,Artisan,8.0,1,11
52,enemy,3,Guardian,0.0,0,60
52,enemy,4,Explorer,2.0,1,10
52,enemy,5,Conqueror,41.0,0,60
52,enemy,6,Manager,47.0,0,60
52,enemy,7,Artisan,8.0,1,23
52,enemy,8,Guardian,8.0,1,27
52,enemy,9,Explorer,1.0,1,7
53,enemy,0,Conqueror,41.0,0,60
53,enemy,1,Manager,57.0,0,60
53,enemy,2,Artisan,23.0,1,34
53,enemy,3,Guardian,0.0,0,60
53,enemy,4,Explorer,2.0,1,8
53,enemy,5,Conqueror,57.0,0,60
53,enemy,6,Manager,8.0,1,23
53,enemy,7,Artisan,17.0,1,36
53,enemy,8,Guardian,2.0,1,24
53,enemy,9,Explorer,11.0,1,32
54,enemy,0,Conqueror,53.0,0,60
54,enemy,1,Manager,26.0,1,27
54,enemy,2,Artisan,18.0,1,25
54,enemy,3,Guardian,0.0,0,60
54,enemy,4,Explorer,3.0,1,17
54,enemy,5,Conqueror,1.0,1,10
54,enemy,6,Manager,42.0,0,60
54,enemy,7,Artisan,9.0,1,26
54,enemy,8,Guardian,8.0,1,26
54,enemy,9,Explorer,0.0,1,10
55,enemy,0,Conqueror,45.0,0,60
55,enemy,1,Manager,6.0,1,29
55,enemy,2,Artisan,19.0,1,32
55,enemy,3,Guardian,10.0,1,34
55,enemy,4,Explorer,3.0,1,16
55,enemy,5,Conqueror,41.0,0,60
55,enemy,6,Manager,48.0,0,60
55,enemy,7,Artisan,1.0,1,7
55,enemy,8,Guardian,3.0,1,12
55,enemy,9,Explorer,1.0,1,10
56,enemy,0,Conqueror,42.0,0,60
56,enemy,1,Manager,22.0,1,29
56,enemy,2,Artisan,17.0,1,25
56,enemy,3,Guardian,0.0,0,60
56,enemy,4,Explorer,19.0,1,44
56,enemy,5,Conqueror,39.0,0,60
56,enemy,6,Manager,41.0,0,60
56,enemy,7,Artisan,15.0,1,20
56,enemy,8,Guardian,0.0,0,60
56,enemy,9,Explorer,3.0,1,12
57,enemy,0,Conqueror,41.0,0,60
57,enemy,1,Manager,13.0,1,33
57,enemy,2,Artisan,8.0,1,20
57,enemy,3,Guardian,2.0,1,13
57,enemy,4,Explorer,14.0,1,35
57,enemy,5,Conqueror,44.0,0,60
57,enemy,6,Manager,35.0,1,41
57,enemy,7,Artisan,21.0,1,38
57,enemy,8,Guardian,0.0,0,60
57,enemy,9,Explorer,3.0,1,9
58,enemy,0,Conqueror,12.0,1,27
58,enemy,1,Manager,13.0,1,33
58,enemy,2,Artisan,30.0,1,37
58,enemy,3,Guardian,3.0,1,7
58,enemy,4,Explorer,0.0,1,6
58,enemy,5,Conqueror,38.0,0,60
58,enemy,6,Manager,5.0,1,25
58,enemy,7,Artisan,18.0,1,37
58,enemy,8,Guardian,18.0,1,42
58,enemy,9,Explorer,5.0,1,27
59,enemy,0,Conqueror,30.0,1,49
59,enemy,1,Manager,41.0,0,60
59,enemy,2,Artisan,7.0,1,20
59,enemy,3,Guardian,2.0,1,23
59,enemy,4,Explorer,1.0,1,6
59,enemy,5,Conqueror,39.0,0,60
59,enemy,6,Manager,41.0,0,60
59,enemy,7,Artisan,16.0,1,35
59,enemy,8,Guardian,0.0,0,60
59,enemy,9,Explorer,2.0,1,12
60,enemy,0,Conqueror,36.0,0,60
60,enemy,1,Manager,14.0,1,34
60,enemy,2,Artisan,4.0,1,17
60,enemy,3,Guardian,0.0,0,60
60,enemy,4,Explorer,5.0,1,13
60,enemy,5,Conqueror,41.0,0,60
60,enemy,6,Manager,13.0,1,24
60,enemy,7,Artisan,14.0,1,21
60,enemy,8,Guardian,8.0,1,25
60,enemy,9,Explorer,1.0,1,8
61,enemy,0,Conqueror,41.0,0,60
61,enemy,1,Manager,39.0,0,60
61,enemy,2,Artisan,31.0,1,54
61,enemy,3,Guardian,8.0,1,27
61,enemy,4,Explorer,2.0,1,11
61,enemy,5,Conqueror,42.0,0,60
61,enemy,6,Manager,16.0,1,36
61,enemy,7,Artisan,26.0,1,31
61,enemy,8,Guardian,32.0,1,56
61,enemy,9,Explorer,6.0,1,27
62,enemy,0,Conqueror,38.0,0,60
62,enemy,1,Manager,8.0,1,21
62,enemy,2,Artisan,41.0,0,60
62,enemy,3,Guardian,6.0,1,18
62,enemy,4,Explorer,1.0,1,9
62,enemy,5,Conqueror,43.0,0,60
62,enemy,6,Manager,41.0,0,60
62,enemy,7,Artisan,13.0,1,33
62,enemy,8,Guardian,0.0,0,60
62,enemy,9,Explorer,1.0,1,10
63,enemy,0,Conqueror,44.0,0,60
63,enemy,1,Manager,41.0,0,60
63,enemy,2,Artisan,1.0,1,12
63,enemy,3,Guardian,6.0,1,12
63,enemy,4,Explorer,1.0,1,10
63,enemy,5,Conqueror,50.0,0,60
63,enemy,6,Manager,29.0,1,42
63,enemy,7,Artisan,2.0,1,12
63,enemy,8,Guardian,40.0,0,60
63,enemy,9,Explorer,1.0,1,11
64,enemy,0,Conqueror,41.0,0,60
64,enemy,1,Manager,10.0,1,27
64,enemy,2,Artisan,13.0,1,34
64,enemy,3,Guardian,3.0,1,10
64,enemy,4,Explorer,18.0,1,27
64,enemy,5,Conqueror,54.0,0,60
64,enemy,6,Manager,41.0,0,60
64,enemy,7,Artisan,11.0,1,27
64,enemy,8,Guardian,8.0,1,23
64,enemy,9,Explorer,2.0,1,9
65,enemy,0,Conqueror,40.0,0,60
65,enemy,1,Manager,3.0,1,11
65,enemy,2,Artisan,10.0,1,27
65,enemy,3,Guardian,9.0,1,21
65,enemy,4,Explorer,1.0,1,8
65,enemy,5,Conqueror,51.0,0,60
65,enemy,6,Manager,41.0,0,60
65,enemy,7,Artisan,11.0,1,19
65,enemy,8,Guardian,3.0,0,60
65,enemy,9,Explorer,7.0,1,24
66,enemy,0,Conqueror,41.0,0,60
66,enemy,1,Manager,33.0,0,60
66,enemy,2,Artisan,8.0,1,22
